chunk_num,chunk_text,chunk_summary,progressive_summary,section_detected,word_count,processing_time_sec
1,--- Document: 700321_2022_LUIGI_NAPOLITANO_v_ROBERT_L_WIGHTON_M_D_et_al_ANSWER_13.pdf ---...,...,...,---,4,0.0
2,"SUPREME COURT OF THE STATE OF NEW YORK
LUIGI NAPOLITANO, Index No. 700321/2022
Plaintiff, VERIFIED A...",...,...,i. h,4964,0.0
