chunk_num,chunk_text,chunk_summary,progressive_summary,section_detected,word_count,processing_time_sec
1,--- Document: Transcript 11-10-2025 700321-2022 Napolitano_F-1.pdf ---...,...,...,---,7,0.0
2,"In The Matter Of:
November 10, 2025
Queens Supreme Court, Cvil Division
Original File Transcript 11-...",...,...,M. F,36341,0.0
